reaction number,reaction,reaction rate,description,simplified_reaction,simplified_reaction_rate,equations,simplified_equations
1,[Blood-Lymph].CTLA4_mabB <-> Lymph_Node.CTLA4_mab,Kpa_LNB*S_LNB*VL*f_LN_CTLA4*([Blood-Lymph].CTLA4_mabB/Vc_CTLA4-Lymph_Node.CTLA4_mab/VL),Distribution of Anti-CTLA-4 mAb between the central and lymph node compartments,alpha.CE <-> delta.CD,Kpa_LNB*S_LNB*VL*f_LN_CTLA4*(alpha.CE/Vc_CTLA4-delta.CD/VL),-[Blood-Lymph].CTLA4_mabB  =  Lymph_Node.CTLA4_mab = Kpa_LNB*S_LNB*VL*f_LN_CTLA4*([Blood-Lymph].CTLA4_mabB/Vc_CTLA4-Lymph_Node.CTLA4_mab/VL),-alpha.CE  =  delta.CD = Kpa_LNB*S_LNB*VL*f_LN_CTLA4*(alpha.CE/Vc_CTLA4-delta.CD/VL)
2,[Blood-Lymph].CTLA4_mabB <-> Peripheral.CTLA4_mabP_leaky,0.67*Q_L*[Blood-Lymph].CTLA4_mabB*(1-Sigma1_CTLA4)/Vc_CTLA4 - (Peripheral.CTLA4_mabP_leaky/(0.35*ISF*KP_CTLA4))*0.33*Q_L*(1-Sigma1_CTLA4),Distribution of Anti-CTLA-4 mAb between the central and leaky tissues,alpha.CE <-> epsilon.CG,0.67*Q_L*alpha.CE*(1-Sigma1_CTLA4)/Vc_CTLA4 - (epsilon.CG/(0.35*ISF*KP_CTLA4))*0.33*Q_L*(1-Sigma1_CTLA4),-[Blood-Lymph].CTLA4_mabB  =  Peripheral.CTLA4_mabP_leaky = 0.67*Q_L*[Blood-Lymph].CTLA4_mabB*(1-Sigma1_CTLA4)/Vc_CTLA4 - (Peripheral.CTLA4_mabP_leaky/(0.35*ISF*KP_CTLA4))*0.33*Q_L*(1-Sigma1_CTLA4),-alpha.CE  =  epsilon.CG = 0.67*Q_L*alpha.CE*(1-Sigma1_CTLA4)/Vc_CTLA4 - (epsilon.CG/(0.35*ISF*KP_CTLA4))*0.33*Q_L*(1-Sigma1_CTLA4)
3,[Blood-Lymph].CTLA4_mabB <-> Peripheral.CTLA4_mabP_tight,0.33*Q_L*[Blood-Lymph].CTLA4_mabB*(1-Sigma2_CTLA4)/Vc_CTLA4- (Peripheral.CTLA4_mabP_tight/(0.65*ISF*KP_CTLA4))*0.33*Q_L*(1-Sigma2_CTLA4),Distribution of Anti-CTLA-4 mAb between the central and tight tissues,alpha.CE <-> epsilon.CH,0.33*Q_L*alpha.CE*(1-Sigma2_CTLA4)/Vc_CTLA4- (epsilon.CH/(0.65*ISF*KP_CTLA4))*0.33*Q_L*(1-Sigma2_CTLA4),-[Blood-Lymph].CTLA4_mabB  =  Peripheral.CTLA4_mabP_tight = 0.33*Q_L*[Blood-Lymph].CTLA4_mabB*(1-Sigma2_CTLA4)/Vc_CTLA4- (Peripheral.CTLA4_mabP_tight/(0.65*ISF*KP_CTLA4))*0.33*Q_L*(1-Sigma2_CTLA4),-alpha.CE  =  epsilon.CH = 0.33*Q_L*alpha.CE*(1-Sigma2_CTLA4)/Vc_CTLA4- (epsilon.CH/(0.65*ISF*KP_CTLA4))*0.33*Q_L*(1-Sigma2_CTLA4)
4,[Blood-Lymph].CTLA4_mabB <-> Tumor.CTLA4_mabt,Kpa_TB*S_TB*Vt_avg_const*[Blood-Lymph].CTLA4_mabB/Vc_PD1-Kpa_TB*S_TB*Vt_avg_const*Tumor.CTLA4_mabt/(Vex_Tmr),Distribution of Anti-CTLA-4 mAb between the central and tumor compartments,alpha.CE <-> zeta.CJ,Kpa_TB*S_TB*Vt_avg_const*alpha.CE/Vc_PD1-Kpa_TB*S_TB*Vt_avg_const*zeta.CJ/(Vex_Tmr),-[Blood-Lymph].CTLA4_mabB  =  Tumor.CTLA4_mabt = Kpa_TB*S_TB*Vt_avg_const*[Blood-Lymph].CTLA4_mabB/Vc_PD1-Kpa_TB*S_TB*Vt_avg_const*Tumor.CTLA4_mabt/(Vex_Tmr),-alpha.CE  =  zeta.CJ = Kpa_TB*S_TB*Vt_avg_const*alpha.CE/Vc_PD1-Kpa_TB*S_TB*Vt_avg_const*zeta.CJ/(Vex_Tmr)
5,[Blood-Lymph].CTLA4_mabB -> null,Cl_CTLA4*[Blood-Lymph].CTLA4_mabB,Clearance of Anti-CTLA-4 mAb from the central compartment,alpha.CE -> null,Cl_CTLA4*alpha.CE,-[Blood-Lymph].CTLA4_mabB  =  Cl_CTLA4*[Blood-Lymph].CTLA4_mabB,-alpha.CE  =  Cl_CTLA4*alpha.CE
6,[Blood-Lymph].Effector_T_TB -> [Blood-Lymph].Effector_T_TB + [Blood-Lymph].Effector_TB,EffT_Migrate*[Blood-Lymph].Effector_T_TB,The generation of Effector T cells and their migration into the blood/plasma from the designated number of lymph nodes as a multiple of that from a single lymph node,alpha.EC -> alpha.EC + alpha.DZ,EffT_Migrate*alpha.EC,-[Blood-Lymph].Effector_T_TB  =  [Blood-Lymph].Effector_T_TB  =  [Blood-Lymph].Effector_TB = EffT_Migrate*[Blood-Lymph].Effector_T_TB,-alpha.EC  =  alpha.EC  =  alpha.DZ = EffT_Migrate*alpha.EC
7,[Blood-Lymph].Effector_TB -> Liv_Spln_GI.EffT_GI_f_Vasc,QC_GI*[Blood-Lymph].Effector_TB/Vc_Teff,Trafficking of free Effector T cells from blood to GI vasculature,alpha.DZ -> gamma.DH,QC_GI*alpha.DZ/Vc_Teff,-[Blood-Lymph].Effector_TB  =  Liv_Spln_GI.EffT_GI_f_Vasc = QC_GI*[Blood-Lymph].Effector_TB/Vc_Teff,-alpha.DZ  =  gamma.DH = QC_GI*alpha.DZ/Vc_Teff
8,[Blood-Lymph].Effector_TB -> Liv_Spln_GI.EffT_Liver_f_Vasc,(QC_Liver-QC_GI-QC_Spleen+LC_GI+LC_Spleen)*[Blood-Lymph].Effector_TB/Vc_Teff,Trafficking of free Effector T cells from blood to Liver vasculature,alpha.DZ -> gamma.DN,(QC_Liver-QC_GI-QC_Spleen+LC_GI+LC_Spleen)*alpha.DZ/Vc_Teff,-[Blood-Lymph].Effector_TB  =  Liv_Spln_GI.EffT_Liver_f_Vasc = (QC_Liver-QC_GI-QC_Spleen+LC_GI+LC_Spleen)*[Blood-Lymph].Effector_TB/Vc_Teff,-alpha.DZ  =  gamma.DN = (QC_Liver-QC_GI-QC_Spleen+LC_GI+LC_Spleen)*alpha.DZ/Vc_Teff
9,[Blood-Lymph].Effector_TB -> Liv_Spln_GI.EffT_Spleen_f_Vasc,QC_Spleen * [Blood-Lymph].Effector_TB/Vc_Teff,Trafficking of free Effector T cells from blood to Spleen vasculature,alpha.DZ -> gamma.DT,QC_Spleen * alpha.DZ/Vc_Teff,-[Blood-Lymph].Effector_TB  =  Liv_Spln_GI.EffT_Spleen_f_Vasc = QC_Spleen * [Blood-Lymph].Effector_TB/Vc_Teff,-alpha.DZ  =  gamma.DT = QC_Spleen * alpha.DZ/Vc_Teff
10,[Blood-Lymph].Effector_TB -> Lymph_Node.EffT_LN_f_Vasc,QC_LN*[Blood-Lymph].Effector_TB/Vc_Teff,Trafficking of free Effector T cells from blood to Lymph Node vasculature,alpha.DZ -> delta.DJ,QC_LN*alpha.DZ/Vc_Teff,-[Blood-Lymph].Effector_TB  =  Lymph_Node.EffT_LN_f_Vasc = QC_LN*[Blood-Lymph].Effector_TB/Vc_Teff,-alpha.DZ  =  delta.DJ = QC_LN*alpha.DZ/Vc_Teff
