reaction number,reaction,reaction rate
1,[Blood-Lymph].CTLA4_mabB <-> Lymph_Node.CTLA4_mab,Kpa_LNB*S_LNB*VL*f_LN_CTLA4*([Blood-Lymph].CTLA4_mabB/Vc_CTLA4-Lymph_Node.CTLA4_mab/VL)
2,[Blood-Lymph].CTLA4_mabB <-> Peripheral.CTLA4_mabP_leaky,0.67*Q_L*[Blood-Lymph].CTLA4_mabB*(1-Sigma1_CTLA4)/Vc_CTLA4 - (Peripheral.CTLA4_mabP_leaky/(0.35*ISF*KP_CTLA4))*0.33*Q_L*(1-Sigma1_CTLA4)
3,[Blood-Lymph].CTLA4_mabB <-> Peripheral.CTLA4_mabP_tight,0.33*Q_L*[Blood-Lymph].CTLA4_mabB*(1-Sigma2_CTLA4)/Vc_CTLA4- (Peripheral.CTLA4_mabP_tight/(0.65*ISF*KP_CTLA4))*0.33*Q_L*(1-Sigma2_CTLA4)
4,[Blood-Lymph].CTLA4_mabB <-> Tumor.CTLA4_mabt,Kpa_TB*S_TB*Vt_avg_const*[Blood-Lymph].CTLA4_mabB/Vc_PD1-Kpa_TB*S_TB*Vt_avg_const*Tumor.CTLA4_mabt/(Vex_Tmr)
5,[Blood-Lymph].CTLA4_mabB -> null,Cl_CTLA4*[Blood-Lymph].CTLA4_mabB
6,[Blood-Lymph].Effector_T_TB -> [Blood-Lymph].Effector_T_TB + [Blood-Lymph].Effector_TB,EffT_Migrate*[Blood-Lymph].Effector_T_TB
7,[Blood-Lymph].Effector_TB -> Liv_Spln_GI.EffT_GI_f_Vasc,QC_GI*[Blood-Lymph].Effector_TB/Vc_Teff
8,[Blood-Lymph].Effector_TB -> Liv_Spln_GI.EffT_Liver_f_Vasc,(QC_Liver-QC_GI-QC_Spleen+LC_GI+LC_Spleen)*[Blood-Lymph].Effector_TB/Vc_Teff
9,[Blood-Lymph].Effector_TB -> Liv_Spln_GI.EffT_Spleen_f_Vasc,QC_Spleen * [Blood-Lymph].Effector_TB/Vc_Teff
10,[Blood-Lymph].Effector_TB -> Lymph_Node.EffT_LN_f_Vasc,QC_LN*[Blood-Lymph].Effector_TB/Vc_Teff
11,[Blood-Lymph].Effector_TB -> null,EffT_Turnover*[Blood-Lymph].Effector_TB
12,[Blood-Lymph].Effector_TB -> Peripheral.EffT_P_f_Vasc,QC_Periph*[Blood-Lymph].Effector_TB/Vc_Teff
13,[Blood-Lymph].Effector_TB -> Tumor.EffT_f_Vasc,QC_Tmr*TCytokineHoming*[Blood-Lymph].Effector_TB/Vc_Teff
14,[Blood-Lymph].PD1_mabb <-> Lymph_Node.PD1_mab,Kpa_LNB*S_LNB*VL*f_LN_PD1*([Blood-Lymph].PD1_mabb/Vc_PD1-Lymph_Node.PD1_mab/VL)
15,[Blood-Lymph].PD1_mabb <-> Peripheral.PD1_mabP_leaky,0.67*Q_L*PD1_mabb*(1-Sigma1_PD1)/Vc_PD1-(Peripheral.PD1_mabP_leaky/(0.35*ISF*KP_PD1))*0.33*Q_L*(1- Sigma1_PD1)
16,[Blood-Lymph].PD1_mabb <-> Peripheral.PD1_mabP_tight,0.33*Q_L*[Blood-Lymph].PD1_mabb*(1-Sigma2_PD1)/Vc_PD1-(Peripheral.PD1_mabP_tight/(0.65*ISF*KP_PD1))*0.33*Q_L*(1-Sigma2_PD1)
17,[Blood-Lymph].PD1_mabb <-> Tumor.PD1_mabt,Kpa_TB*S_TB*Vt_avg_const*[Blood-Lymph].PD1_mabb/Vc_PD1-Kpa_TB*S_TB*Vt_avg_const*Tumor.PD1_mabt/(Vex_Tmr)
18,[Blood-Lymph].PD1_mabb -> null,(Cl_PD1/Vc_PD1)*[Blood-Lymph].PD1_mabb
19,[Blood-Lymph].PDL1_mabb <-> Lymph_Node.PDL1_mab,Kpa_LNB*S_LNB*VL*f_LN_PD1*([Blood-Lymph].PDL1_mabb/Vc_PDL1-Lymph_Node.PDL1_mab/VL)
20,[Blood-Lymph].PDL1_mabb <-> Peripheral.PDL1_mabP_leaky,0.67*Q_L*PDL1_mabb*(1-Sigma1_PDL1)/Vc_PDL1-(Peripheral.PDL1_mabP_leaky/(0.35*ISF*KP_PDL1))*0.33*Q_L*(1-Sigma1_PDL1)
21,[Blood-Lymph].PDL1_mabb <-> Peripheral.PDL1_mabP_tight,0.33*Q_L*[Blood-Lymph].PDL1_mabb*(1-Sigma2_PDL1)/Vc_PDL1-(Peripheral.PDL1_mabP_tight/(0.65*ISF*KP_PDL1))*0.33*Q_L*(1-Sigma2_PDL1)
22,[Blood-Lymph].PDL1_mabb <-> Tumor.PDL1_mabt,Kpa_TB*S_TB*Vt_avg_const*[Blood-Lymph].PDL1_mabb/Vc_PDL1-Kpa_TB*S_TB*Vt_avg_const*Tumor.PDL1_mabt/(Vex_Tmr)
23,[Blood-Lymph].PDL1_mabb -> null,(Cl_PDL1/Vc_PDL1)*[Blood-Lymph].PDL1_mabb
24,[Blood-Lymph].PDL1_mabb -> null,(Vm/Durvalumab_MW)*[Blood-Lymph].PDL1_mabb/(Km*Vc_PDL1/Durvalumab_MW+[Blood-Lymph].PDL1_mabb)
25,Liv_Spln_GI.EffT_GI_f_Vasc -> Liv_Spln_GI.EffT_Liver_f_Vasc,(QC_GI - LC_GI)*Liv_Spln_GI.EffT_GI_f_Vasc/Vv_GI
26,Liv_Spln_GI.EffT_GI_f_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_GI_f_Vasc
27,Liv_Spln_GI.EffT_Liver_AR_Vasc -> Liv_Spln_GI.EffT_LiverEx,J_Liver*Liv_Spln_GI.EffT_Liver_AR_Vasc
28,Liv_Spln_GI.EffT_Liver_AR_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Liver_AR_Vasc
29,Liv_Spln_GI.EffT_Liver_b_Vasc -> Liv_Spln_GI.EffT_Liver_AR_Vasc,AR_Liver*[Liv_Spln_GI].EffT_Liver_b_Vasc
30,Liv_Spln_GI.EffT_Liver_b_Vasc -> Liv_Spln_GI.EffT_Liver_f_Vasc,kr_Periph*Liv_Spln_GI.EffT_Liver_b_Vasc
31,Liv_Spln_GI.EffT_Liver_b_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Liver_b_Vasc
32,Liv_Spln_GI.EffT_Liver_f_Vasc -> Lungs.EffT_f_LungsVasc,(QC_Liver - LC_Liver)*Liv_Spln_GI.EffT_Liver_f_Vasc/Vv_Liver
33,Liv_Spln_GI.EffT_Liver_f_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Liver_f_Vasc
34,Liv_Spln_GI.EffT_LiverEx -> Lymph_Node.EffT_LN_ExRec,LC_Liver*Delta_Liver*Liv_Spln_GI.EffT_LiverEx/Vext_Liver
35,Liv_Spln_GI.EffT_LiverEx -> null,EffT_Turnover*Liv_Spln_GI.EffT_LiverEx
36,Liv_Spln_GI.EffT_Spleen_AR_Vasc -> Liv_Spln_GI.EffT_SpleenEx,J_Spleen*Liv_Spln_GI.EffT_Spleen_AR_Vasc
37,Liv_Spln_GI.EffT_Spleen_AR_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Spleen_AR_Vasc
38,Liv_Spln_GI.EffT_Spleen_b_Vasc -> Liv_Spln_GI.EffT_Spleen_AR_Vasc,AR_Spleen*[Liv_Spln_GI].EffT_Spleen_b_Vasc
39,Liv_Spln_GI.EffT_Spleen_b_Vasc -> Liv_Spln_GI.EffT_Spleen_f_Vasc,kr_Periph*Liv_Spln_GI.EffT_Spleen_b_Vasc
40,Liv_Spln_GI.EffT_Spleen_b_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Spleen_b_Vasc
41,Liv_Spln_GI.EffT_Spleen_f_Vasc + Liv_Spln_GI.Spleen_Free_Sites -> Liv_Spln_GI.EffT_Spleen_b_Vasc + Liv_Spln_GI.Spleen_Free_Sites,kf_Spleen*Liv_Spln_GI.Spleen_Free_Sites*[Liv_Spln_GI].EffT_Spleen_f_Vasc/Vv_Spleen
42,Liv_Spln_GI.EffT_Spleen_f_Vasc -> Liv_Spln_GI.EffT_Liver_f_Vasc,(QC_Spleen - LC_Spleen)*Liv_Spln_GI.EffT_Spleen_f_Vasc/Vv_Spleen
43,Liv_Spln_GI.EffT_Spleen_f_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Spleen_f_Vasc
44,Liv_Spln_GI.EffT_SpleenEx -> Lymph_Node.EffT_LN_ExRec,LC_Spleen*Delta_Spleen*Liv_Spln_GI.EffT_SpleenEx/Vext_Spleen
45,Liv_Spln_GI.EffT_SpleenEx -> null,EffT_Turnover*Liv_Spln_GI.EffT_SpleenEx
46,Liv_Spln_GI.Liver_Free_Sites + Liv_Spln_GI.EffT_Liver_f_Vasc -> Liv_Spln_GI.EffT_Liver_b_Vasc + Liv_Spln_GI.Liver_Free_Sites,kf_Liver*Liver_Free_Sites*[Liv_Spln_GI].EffT_Liver_f_Vasc/Vv_Liver
47,Lungs.EffT_AR_LungsVasc -> Lungs.EffT_LungsEx,J_Lungs*Lungs.EffT_AR_LungsVasc
48,Lungs.EffT_AR_LungsVasc -> null,EffT_Turnover*Lungs.EffT_AR_LungsVasc
49,Lungs.EffT_AR_LungsVasc -> null,E_Lungs*Lungs.EffT_AR_LungsVasc
50,Lungs.EffT_f_LungsVasc + Lungs.Lung_Free_Sites -> Lungs.EffT_r_LungsVasc + Lungs.Lung_Free_Sites,kf_Lungs*Lung_Free_Sites*Lungs.EffT_f_LungsVasc/Vv_Lungs
51,Lungs.EffT_f_LungsVasc -> [Blood-Lymph].Effector_TB,(QC_Lungs - LC_Lungs)*Lungs.EffT_f_LungsVasc/Vv_Lungs
52,Lungs.EffT_f_LungsVasc -> null,EffT_Turnover*Lungs.EffT_f_LungsVasc
53,Lungs.EffT_LungsEx -> Lymph_Node.EffT_LN_ExRec,LC_Lungs*Delta_Lungs*Lungs.EffT_LungsEx/Vext_Lungs
54,Lungs.EffT_LungsEx -> null,EffT_Turnover*Lungs.EffT_LungsEx
55,Lungs.EffT_r_LungsVasc -> Lungs.EffT_AR_LungsVasc,AR_Lungs*Lungs.EffT_r_LungsVasc
56,Lungs.EffT_r_LungsVasc -> Lungs.EffT_f_LungsVasc,kr_Lungs*Lungs.EffT_r_LungsVasc
57,Lungs.EffT_r_LungsVasc -> null,EffT_Turnover*Lungs.EffT_r_LungsVasc
58,Lungs.EffT_r_LungsVasc -> null,E_Lungs*Lungs.EffT_r_LungsVasc
59,Lymph_Node.[PNT-Tr_CD80] + Lymph_Node.[Tr-PNT_PDL1] <-> Lymph_Node.[TrPNT_PDL1-CD80],[kon_PDL1_CD80]*Lymph_Node.[PNT-Tr_CD80]*Lymph_Node.[Tr-PNT_PDL1]/[Vol_Cell-Rec_Tr-PNT] -[koff_PDL1_CD80]*Lymph_Node.[TrPNT_PDL1-CD80]
60,Lymph_Node.[PNT-Tr_CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[PNT-Tr_CD80]+[TrPNT_PDL1-CD80])
61,Lymph_Node.[PNT-Tr_PD1] + Lymph_Node.[Tr-PNT_PDL1] <-> Lymph_Node.[TrPNT_PDL1-PD1],[kon_PD1_PDL1]*Lymph_Node.[PNT-Tr_PD1]*Lymph_Node.[Tr-PNT_PDL1]/[Vol_Cell-Rec_Tr-PNT] -[koff_PD1_PDL1]*Lymph_Node.[TrPNT_PDL1-PD1]
62,Lymph_Node.[PNT-Tr_PD1] + Lymph_Node.PD1_mab <-> Lymph_Node.PNTTr_PD1_aPD1,[kon_PD1-PD1mAb]*Lymph_Node.[PNT-Tr_PD1]*Lymph_Node.PD1_mab/Vtdln - [koff_PD1-PD1mAb]*Lymph_Node.PNTTr_PD1_aPD1
63,Lymph_Node.[PNT-Tr_PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[PNT-Tr_PD1]+PNTTr_PD1_aPD1+[TrPNT_PDL1-PD1])
64,Lymph_Node.[PNT-Tr_PDL1] + Lymph_Node.PDL1_mab <-> Lymph_Node.PNTTr_PDL1_aPDL1,[kon_PDL1-PDL1mAb]*Lymph_Node.[PNT-Tr_PDL1]*Lymph_Node.PDL1_mab/Vtdln - [koff_PDL1-PDL1mAb]*Lymph_Node.PNTTr_PDL1_aPDL1
65,Lymph_Node.[PNT-Tr_PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[PNT-Tr_PDL1]+PNTTr_PDL1_aPDL1+[TrPNT_PD1-L1])
