reaction number,reaction,reaction rate,simplified_reaction
1,[Blood-Lymph].CTLA4_mabB <-> Lymph_Node.CTLA4_mab,Kpa_LNB*S_LNB*VL*f_LN_CTLA4*([Blood-Lymph].CTLA4_mabB/Vc_CTLA4-Lymph_Node.CTLA4_mab/VL),alpha.CE <-> delta.CD
2,[Blood-Lymph].CTLA4_mabB <-> Peripheral.CTLA4_mabP_leaky,0.67*Q_L*[Blood-Lymph].CTLA4_mabB*(1-Sigma1_CTLA4)/Vc_CTLA4 - (Peripheral.CTLA4_mabP_leaky/(0.35*ISF*KP_CTLA4))*0.33*Q_L*(1-Sigma1_CTLA4),alpha.CE <-> epsilon.CG
3,[Blood-Lymph].CTLA4_mabB <-> Peripheral.CTLA4_mabP_tight,0.33*Q_L*[Blood-Lymph].CTLA4_mabB*(1-Sigma2_CTLA4)/Vc_CTLA4- (Peripheral.CTLA4_mabP_tight/(0.65*ISF*KP_CTLA4))*0.33*Q_L*(1-Sigma2_CTLA4),alpha.CE <-> epsilon.CH
4,[Blood-Lymph].CTLA4_mabB <-> Tumor.CTLA4_mabt,Kpa_TB*S_TB*Vt_avg_const*[Blood-Lymph].CTLA4_mabB/Vc_PD1-Kpa_TB*S_TB*Vt_avg_const*Tumor.CTLA4_mabt/(Vex_Tmr),alpha.CE <-> zeta.CJ
5,[Blood-Lymph].CTLA4_mabB -> null,Cl_CTLA4*[Blood-Lymph].CTLA4_mabB,alpha.CE -> null
6,[Blood-Lymph].Effector_T_TB -> [Blood-Lymph].Effector_T_TB + [Blood-Lymph].Effector_TB,EffT_Migrate*[Blood-Lymph].Effector_T_TB,alpha.EC -> alpha.EC + alpha.DZ
7,[Blood-Lymph].Effector_TB -> Liv_Spln_GI.EffT_GI_f_Vasc,QC_GI*[Blood-Lymph].Effector_TB/Vc_Teff,alpha.DZ -> gamma.DH
8,[Blood-Lymph].Effector_TB -> Liv_Spln_GI.EffT_Liver_f_Vasc,(QC_Liver-QC_GI-QC_Spleen+LC_GI+LC_Spleen)*[Blood-Lymph].Effector_TB/Vc_Teff,alpha.DZ -> gamma.DN
9,[Blood-Lymph].Effector_TB -> Liv_Spln_GI.EffT_Spleen_f_Vasc,QC_Spleen * [Blood-Lymph].Effector_TB/Vc_Teff,alpha.DZ -> gamma.DT
10,[Blood-Lymph].Effector_TB -> Lymph_Node.EffT_LN_f_Vasc,QC_LN*[Blood-Lymph].Effector_TB/Vc_Teff,alpha.DZ -> delta.DJ
11,[Blood-Lymph].Effector_TB -> null,EffT_Turnover*[Blood-Lymph].Effector_TB,alpha.DZ -> null
12,[Blood-Lymph].Effector_TB -> Peripheral.EffT_P_f_Vasc,QC_Periph*[Blood-Lymph].Effector_TB/Vc_Teff,alpha.DZ -> epsilon.DP
13,[Blood-Lymph].Effector_TB -> Tumor.EffT_f_Vasc,QC_Tmr*TCytokineHoming*[Blood-Lymph].Effector_TB/Vc_Teff,alpha.DZ -> zeta.DW
14,[Blood-Lymph].PD1_mabb <-> Lymph_Node.PD1_mab,Kpa_LNB*S_LNB*VL*f_LN_PD1*([Blood-Lymph].PD1_mabb/Vc_PD1-Lymph_Node.PD1_mab/VL),alpha.FJ <-> delta.FD
15,[Blood-Lymph].PD1_mabb <-> Peripheral.PD1_mabP_leaky,0.67*Q_L*PD1_mabb*(1-Sigma1_PD1)/Vc_PD1-(Peripheral.PD1_mabP_leaky/(0.35*ISF*KP_PD1))*0.33*Q_L*(1- Sigma1_PD1),alpha.FJ <-> epsilon.FG
16,[Blood-Lymph].PD1_mabb <-> Peripheral.PD1_mabP_tight,0.33*Q_L*[Blood-Lymph].PD1_mabb*(1-Sigma2_PD1)/Vc_PD1-(Peripheral.PD1_mabP_tight/(0.65*ISF*KP_PD1))*0.33*Q_L*(1-Sigma2_PD1),alpha.FJ <-> epsilon.FH
17,[Blood-Lymph].PD1_mabb <-> Tumor.PD1_mabt,Kpa_TB*S_TB*Vt_avg_const*[Blood-Lymph].PD1_mabb/Vc_PD1-Kpa_TB*S_TB*Vt_avg_const*Tumor.PD1_mabt/(Vex_Tmr),alpha.FJ <-> zeta.FK
18,[Blood-Lymph].PD1_mabb -> null,(Cl_PD1/Vc_PD1)*[Blood-Lymph].PD1_mabb,alpha.FJ -> null
19,[Blood-Lymph].PDL1_mabb <-> Lymph_Node.PDL1_mab,Kpa_LNB*S_LNB*VL*f_LN_PD1*([Blood-Lymph].PDL1_mabb/Vc_PDL1-Lymph_Node.PDL1_mab/VL),alpha.GH <-> delta.GB
20,[Blood-Lymph].PDL1_mabb <-> Peripheral.PDL1_mabP_leaky,0.67*Q_L*PDL1_mabb*(1-Sigma1_PDL1)/Vc_PDL1-(Peripheral.PDL1_mabP_leaky/(0.35*ISF*KP_PDL1))*0.33*Q_L*(1-Sigma1_PDL1),alpha.GH <-> epsilon.GE
21,[Blood-Lymph].PDL1_mabb <-> Peripheral.PDL1_mabP_tight,0.33*Q_L*[Blood-Lymph].PDL1_mabb*(1-Sigma2_PDL1)/Vc_PDL1-(Peripheral.PDL1_mabP_tight/(0.65*ISF*KP_PDL1))*0.33*Q_L*(1-Sigma2_PDL1),alpha.GH <-> epsilon.GF
22,[Blood-Lymph].PDL1_mabb <-> Tumor.PDL1_mabt,Kpa_TB*S_TB*Vt_avg_const*[Blood-Lymph].PDL1_mabb/Vc_PDL1-Kpa_TB*S_TB*Vt_avg_const*Tumor.PDL1_mabt/(Vex_Tmr),alpha.GH <-> zeta.GI
23,[Blood-Lymph].PDL1_mabb -> null,(Cl_PDL1/Vc_PDL1)*[Blood-Lymph].PDL1_mabb,alpha.GH -> null
24,[Blood-Lymph].PDL1_mabb -> null,(Vm/Durvalumab_MW)*[Blood-Lymph].PDL1_mabb/(Km*Vc_PDL1/Durvalumab_MW+[Blood-Lymph].PDL1_mabb),alpha.GH -> null
25,Liv_Spln_GI.EffT_GI_f_Vasc -> Liv_Spln_GI.EffT_Liver_f_Vasc,(QC_GI - LC_GI)*Liv_Spln_GI.EffT_GI_f_Vasc/Vv_GI,gamma.DH -> gamma.DN
26,Liv_Spln_GI.EffT_GI_f_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_GI_f_Vasc,gamma.DH -> null
27,Liv_Spln_GI.EffT_Liver_AR_Vasc -> Liv_Spln_GI.EffT_LiverEx,J_Liver*Liv_Spln_GI.EffT_Liver_AR_Vasc,gamma.DL -> gamma.DK
28,Liv_Spln_GI.EffT_Liver_AR_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Liver_AR_Vasc,gamma.DL -> null
29,Liv_Spln_GI.EffT_Liver_b_Vasc -> Liv_Spln_GI.EffT_Liver_AR_Vasc,AR_Liver*[Liv_Spln_GI].EffT_Liver_b_Vasc,gamma.DM -> gamma.DL
30,Liv_Spln_GI.EffT_Liver_b_Vasc -> Liv_Spln_GI.EffT_Liver_f_Vasc,kr_Periph*Liv_Spln_GI.EffT_Liver_b_Vasc,gamma.DM -> gamma.DN
31,Liv_Spln_GI.EffT_Liver_b_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Liver_b_Vasc,gamma.DM -> null
32,Liv_Spln_GI.EffT_Liver_f_Vasc -> Lungs.EffT_f_LungsVasc,(QC_Liver - LC_Liver)*Liv_Spln_GI.EffT_Liver_f_Vasc/Vv_Liver,gamma.DN -> beta.DV
33,Liv_Spln_GI.EffT_Liver_f_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Liver_f_Vasc,gamma.DN -> null
34,Liv_Spln_GI.EffT_LiverEx -> Lymph_Node.EffT_LN_ExRec,LC_Liver*Delta_Liver*Liv_Spln_GI.EffT_LiverEx/Vext_Liver,gamma.DK -> delta.DI
35,Liv_Spln_GI.EffT_LiverEx -> null,EffT_Turnover*Liv_Spln_GI.EffT_LiverEx,gamma.DK -> null
36,Liv_Spln_GI.EffT_Spleen_AR_Vasc -> Liv_Spln_GI.EffT_SpleenEx,J_Spleen*Liv_Spln_GI.EffT_Spleen_AR_Vasc,gamma.DR -> gamma.DQ
37,Liv_Spln_GI.EffT_Spleen_AR_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Spleen_AR_Vasc,gamma.DR -> null
38,Liv_Spln_GI.EffT_Spleen_b_Vasc -> Liv_Spln_GI.EffT_Spleen_AR_Vasc,AR_Spleen*[Liv_Spln_GI].EffT_Spleen_b_Vasc,gamma.DS -> gamma.DR
39,Liv_Spln_GI.EffT_Spleen_b_Vasc -> Liv_Spln_GI.EffT_Spleen_f_Vasc,kr_Periph*Liv_Spln_GI.EffT_Spleen_b_Vasc,gamma.DS -> gamma.DT
40,Liv_Spln_GI.EffT_Spleen_b_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Spleen_b_Vasc,gamma.DS -> null
41,Liv_Spln_GI.EffT_Spleen_f_Vasc + Liv_Spln_GI.Spleen_Free_Sites -> Liv_Spln_GI.EffT_Spleen_b_Vasc + Liv_Spln_GI.Spleen_Free_Sites,kf_Spleen*Liv_Spln_GI.Spleen_Free_Sites*[Liv_Spln_GI].EffT_Spleen_f_Vasc/Vv_Spleen,gamma.DT + gamma.HL -> gamma.DS + gamma.HL
42,Liv_Spln_GI.EffT_Spleen_f_Vasc -> Liv_Spln_GI.EffT_Liver_f_Vasc,(QC_Spleen - LC_Spleen)*Liv_Spln_GI.EffT_Spleen_f_Vasc/Vv_Spleen,gamma.DT -> gamma.DN
43,Liv_Spln_GI.EffT_Spleen_f_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Spleen_f_Vasc,gamma.DT -> null
44,Liv_Spln_GI.EffT_SpleenEx -> Lymph_Node.EffT_LN_ExRec,LC_Spleen*Delta_Spleen*Liv_Spln_GI.EffT_SpleenEx/Vext_Spleen,gamma.DQ -> delta.DI
45,Liv_Spln_GI.EffT_SpleenEx -> null,EffT_Turnover*Liv_Spln_GI.EffT_SpleenEx,gamma.DQ -> null
46,Liv_Spln_GI.Liver_Free_Sites + Liv_Spln_GI.EffT_Liver_f_Vasc -> Liv_Spln_GI.EffT_Liver_b_Vasc + Liv_Spln_GI.Liver_Free_Sites,kf_Liver*Liver_Free_Sites*[Liv_Spln_GI].EffT_Liver_f_Vasc/Vv_Liver,gamma.EE + gamma.DN -> gamma.DM + gamma.EE
47,Lungs.EffT_AR_LungsVasc -> Lungs.EffT_LungsEx,J_Lungs*Lungs.EffT_AR_LungsVasc,beta.DF -> beta.DO
48,Lungs.EffT_AR_LungsVasc -> null,EffT_Turnover*Lungs.EffT_AR_LungsVasc,beta.DF -> null
49,Lungs.EffT_AR_LungsVasc -> null,E_Lungs*Lungs.EffT_AR_LungsVasc,beta.DF -> null
50,Lungs.EffT_f_LungsVasc + Lungs.Lung_Free_Sites -> Lungs.EffT_r_LungsVasc + Lungs.Lung_Free_Sites,kf_Lungs*Lung_Free_Sites*Lungs.EffT_f_LungsVasc/Vv_Lungs,beta.DV + beta.EF -> beta.DX + beta.EF
51,Lungs.EffT_f_LungsVasc -> [Blood-Lymph].Effector_TB,(QC_Lungs - LC_Lungs)*Lungs.EffT_f_LungsVasc/Vv_Lungs,beta.DV -> alpha.DZ
52,Lungs.EffT_f_LungsVasc -> null,EffT_Turnover*Lungs.EffT_f_LungsVasc,beta.DV -> null
53,Lungs.EffT_LungsEx -> Lymph_Node.EffT_LN_ExRec,LC_Lungs*Delta_Lungs*Lungs.EffT_LungsEx/Vext_Lungs,beta.DO -> delta.DI
54,Lungs.EffT_LungsEx -> null,EffT_Turnover*Lungs.EffT_LungsEx,beta.DO -> null
55,Lungs.EffT_r_LungsVasc -> Lungs.EffT_AR_LungsVasc,AR_Lungs*Lungs.EffT_r_LungsVasc,beta.DX -> beta.DF
56,Lungs.EffT_r_LungsVasc -> Lungs.EffT_f_LungsVasc,kr_Lungs*Lungs.EffT_r_LungsVasc,beta.DX -> beta.DV
57,Lungs.EffT_r_LungsVasc -> null,EffT_Turnover*Lungs.EffT_r_LungsVasc,beta.DX -> null
